@relation fuzzy
@attribute a numeric
@attribute b numeric
@attribute s numeric
@data
%input1,input2, output3
1.395794754	,	-1.57E-06	,	-2.470352172
1.766450297	,	0.000529508	,	-2.244884898
1.765443084	,	-1.44E-06	,	-2.245829101
1.393475289	,	-0.000531383	,	-2.472074453
1.024596085	,	-0.00052697	,	-2.696126972
1.033252289	,	1.24E-05	,	-2.690550359
1.603161546	,	0.000814156	,	-2.343886827
1.797513385	,	0.000277645	,	-2.226175062
1.432624464	,	-0.00052127	,	-2.448289483
0.871728737	,	-0.00080128	,	-2.789139503
0.692133907	,	-0.000256564	,	-2.897903309
1.094157426	,	0.000574319	,	-2.653202666
1.476901302	,	0.000546777	,	-2.420744098
1.476194004	,	-1.01E-06	,	-2.421517639
1.115687388	,	-0.000515009	,	-2.640791568
1.144249633	,	4.08E-05	,	-2.623113089
1.562955959	,	0.000598152	,	-2.368442874
1.597048757	,	4.87E-05	,	-2.348079776
1.031416299	,	-0.000808046	,	-2.692150338
1.032366932	,	1.36E-06	,	-2.691095062
1.638570459	,	0.000866005	,	-2.322347252
1.67958441	,	5.86E-05	,	-2.297941761
1.330828255	,	-0.000498223	,	-2.510106293
0.985454461	,	-0.000493391	,	-2.719881554
0.985885843	,	6.16E-07	,	-2.719327966
1.381517396	,	0.000565188	,	-2.478668037
1.43288226	,	7.34E-05	,	-2.447778334
1.090626189	,	-0.000488937	,	-2.655998202
0.751829069	,	-0.000483996	,	-2.861778779
0.814221722	,	8.91E-05	,	-2.823540169
1.213519378	,	0.000570425	,	-2.580705531
1.213285376	,	-3.34E-07	,	-2.58120694
0.877844401	,	-0.000479201	,	-2.785234937
0.545936719	,	-0.000474154	,	-2.98683086
0.618824921	,	0.000104126	,	-2.942213848
1.097405283	,	0.000683686	,	-2.651161019
0.934047779	,	-0.000233368	,	-2.75095228
0.772823424	,	-0.000230321	,	-2.848877409
1.26098267	,	0.00069737	,	-2.551796794
1.099854346	,	-0.000230183	,	-2.650240259
0.534371167	,	-0.000807833	,	-2.994052096
0.624531888	,	0.000128801	,	-2.938731842
1.283023034	,	0.000940702	,	-2.538256578
1.534658266	,	0.000359479	,	-2.38578047
1.220998337	,	-0.000448086	,	-2.57678674
0.910997268	,	-0.000442859	,	-2.76507663
0.911712052	,	1.02E-06	,	-2.764380589
0.911873916	,	2.31E-07	,	-2.764282773
0.604453645	,	-0.000439172	,	-2.951267404
0.712314435	,	0.000154087	,	-2.885397131
0.822831424	,	0.000157881	,	-2.818267236
0.524439991	,	-0.000426273	,	-2.999859676
0.790286513	,	0.000379781	,	-2.837894615
1.056687318	,	0.000380573	,	-2.676083883
0.763138835	,	-0.000419355	,	-2.854871193
0.888319086	,	0.000178829	,	-2.778477114
0.888453557	,	1.92E-07	,	-2.778508235
0.47315539	,	-0.000593283	,	-3.031107925
0.186225564	,	-0.0004099	,	-3.205279701
0.318802996	,	0.000189396	,	-3.124391706
0.87158132	,	0.000789683	,	-2.788257773
1.010349603	,	0.00019824	,	-2.704344128
0.734417298	,	-0.000394189	,	-2.872301673
0.735365227	,	1.35E-06	,	-2.87149277
0.735915341	,	7.86E-07	,	-2.871158992
0.463029684	,	-0.000389837	,	-3.037138535
0.194011705	,	-0.000384311	,	-3.200535412
0.347766764	,	0.00021965	,	-3.106780055
0.924931632	,	0.000824521	,	-2.755831258
1.084933484	,	0.000228574	,	-2.659023133
0.66412869	,	-0.00060115	,	-2.915116508
0.244039783	,	-0.000600127	,	-3.170275407
-0.012300323	,	-0.0003662	,	-3.327880113
0.155787805	,	0.000240126	,	-3.223374074
0.748904185	,	0.000847309	,	-2.862734384
0.923305085	,	0.000249144	,	-2.757182403
0.678391971	,	-0.000349876	,	-2.906305062
0.679525628	,	1.62E-06	,	-2.905409362
0.680366119	,	1.20E-06	,	-2.904899115
0.438813759	,	-0.000345075	,	-3.051820833
0.201232429	,	-0.000339402	,	-3.196123204
0.390603735	,	0.00027053	,	-3.080728819
1.007472862	,	0.000881242	,	-2.705660659
1.203203067	,	0.000279615	,	-2.587154665
0.665186527	,	-0.000768595	,	-2.914572611
0.130085025	,	-0.000764431	,	-3.23958731
0.333508532	,	0.000290605	,	-3.115395393
1.074731936	,	0.001058891	,	-2.664696131
1.392179415	,	0.000453496	,	-2.472262193
1.17559385	,	-0.000309408	,	-2.604283244
